county,state_full,cumulative_cases,State,county_pop,percent_cases
Cayuga,New York,20834,NY,74998.0,0.27779407450865357
Cortland,New York,13694,NY,46126.0,0.2968824524129558
Greene,New York,11218,NY,48061.0,0.23341170595701297
Hamilton,New York,1117,NY,5118.0,0.21824931613911686
Kings,New York,970650,NY,2590516.0,0.374693690369023
Livingston,New York,14679,NY,61516.0,0.23862084660901228
Nassau,New York,554239,NY,1383726.0,0.40054100305985435
New York,New York,600702,NY,1596273.0,0.3763153295207023
Ontario,New York,26840,NY,112707.0,0.2381396009120995
Schoharie,New York,6682,NY,30063.0,0.2222665735289226
Seneca,New York,7885,NY,32882.0,0.23979684934006448
Tompkins,New York,27152,NY,104777.0,0.25914084197867854
Warren,New York,19267,NY,65599.0,0.29370874556014576
Yates,New York,4531,NY,24451.0,0.1853093942988017
Alexander,North Carolina,12844,NC,36512.0,0.3517747589833479
Buncombe,North Carolina,71806,NC,273589.0,0.26245938250441353
Caldwell,North Carolina,30720,NC,80492.0,0.3816528350643542
Camden,North Carolina,2236,NC,11088.0,0.20165945165945165
Chatham,North Carolina,18401,NC,79864.0,0.23040418711810076
Currituck,North Carolina,6411,NC,31015.0,0.20670643237143319
Davidson,North Carolina,56717,NC,172586.0,0.32863036399244433
Haywood,North Carolina,17394,NC,62609.0,0.2778194828219585
Hertford,North Carolina,6424,NC,20875.0,0.30773652694610776
McDowell,North Carolina,17509,NC,44753.0,0.3912363416977633
Montgomery,North Carolina,9129,NC,25894.0,0.35255271491465207
Moore,North Carolina,31962,NC,105531.0,0.30286835147966
Pamlico,North Carolina,3485,NC,12381.0,0.28147968661658995
Rowan,North Carolina,52141,NC,149645.0,0.34843128738013296
Rutherford,North Carolina,21828,NC,64963.0,0.33600664993919616
Sampson,North Carolina,23724,NC,59120.0,0.4012855209742896
Scotland,North Carolina,13038,NC,34162.0,0.3816521280955448
Transylvania,North Carolina,8503,NC,33355.0,0.2549242992055164
Bottineau,North Dakota,1909,ND,6376.0,0.29940401505646175
Burke,North Dakota,498,ND,2155.0,0.23109048723897913
Dickey,North Dakota,1842,ND,4923.0,0.37416209628275443
Foster,North Dakota,1177,ND,3378.0,0.3484310242747188
Pierce,North Dakota,1258,ND,3942.0,0.3191273465246068
